gene_symbol,liver_tpm
F7,83.6402
IGF2,83.4802
UBXN6,83.3557
COX7A2,83.3382
NPM1,83.3354
RAB17,83.2854
PROS1,83.2325
METTL7B,83.132
TUBB4B,83.1303
CD164,82.9988
HTRA1,82.852
EIF4G2,82.8412
PSAT1,82.8371
UBA52,82.3529
DDX39B,82.0898
DGCR6L,81.9239
PSMA7,81.841
MTCO1P12,81.7285
SLC25A6,81.5569
FASN,81.4706
SYVN1,81.1931
PNN,81.1652
MFSD2A,80.9743
PLIN5,80.886
TALDO1,80.8317
RNASEK,80.7069
OS9,80.4466
C20orf24,80.4304
JUN,80.4292
GNB2,80.1526
ALAS1,80.1088
ACAD11,80.0771
QDPR,80.049
HNRNPH1,80.0248
S100A16,79.8971
ADH6,79.8783
DNAJA1,79.4745
VAMP8,79.4423
PQLC1,79.3671
HSD17B13,79.1882
TMEM141,79.1443
FLOT1,79.0887
CMPK1,78.9194
HADHB,78.8233
SSR2,78.5727
AKR1A1,78.5517
EIF6,78.4873
SRP14,78.4268
TNFRSF1A,78.233
RAB11B,78.1741
SDF2L1,78.1219
VDAC1,78.1192
TTC36,78.1188
PILRB,78.0946
EPS8L2,78.0509
COX5A,78.0151
TIMP1,77.8616
TMBIM1,77.8393
GNG5,77.7495
SNX3,77.6811
CDK5RAP3,77.6651
HMGCL,77.5664
EWSR1,77.5591
TSKU,77.4551
UQCR10,77.3997
PREB,77.2925
HSPA1B,77.284
PGM1,77.2048
SLC37A4,77.1861
UQCRH,77.1672
TXNIP,77.1268
GPI,77.0916
RGN,77.0871
PON2,76.8352
GUCD1,76.808
PSMB1,76.6538
CUTA,76.5011
KLKB1,76.4856
NCOA4,76.4645
C1orf43,76.3847
PSMC5,76.344
CRAT,76.3424
ARF5,75.7521
UROC1,75.5752
POLR2E,75.4586
ANXA5,75.1919
SERINC2,75.1607
PRDX4,75.145
MPC2,75.1438
ACSM5,75.139
CYP4A22,75.0458
SLC43A3,75.0161
PSMB7,74.8556
EIF3I,74.8529
NADK2,74.6381
BRK1,74.5679
NR0B2,74.5643
AURKAIP1,74.3371
RPL28,74.1846
ANGPTL4,74.1637
MZT2B,73.9914
GLYATL1,73.9743
PNKD,73.9328
NDUFB9,73.8895
ABHD14B,73.7427
YIF1A,73.7116
RPN2,73.6097
PRKCSH,73.6094
HMGN3,73.4426
APH1A,73.3919
F10,73.3792
HDLBP,73.3292
RNF167,73.0759
UGT2B15,72.9765
FKBP2,72.9747
RNF5,72.8332
APOL1,72.8086
HNRNPA1,72.7916
GPD1,72.7164
SC5D,72.6854
RPS4Y1,72.6651
INHBE,72.5712
CEBPA,72.5413
LSR,72.2428
SDHD,71.9667
FAM96B,71.8047
ARHGDIA,71.6915
PRELID1,71.6683
DCAF11,71.6574
CYP1A2,71.5396
AKR7A3,71.5153
RPS2P5,71.5072
GOLPH3,71.428
BDH1,71.3781
NDUFA4,71.1373
PSMD4,71.1215
ZGPAT,70.9384
USF2,70.8699
ARPC3,70.726
ST13,70.6962
CREG1,70.6086
FIS1,70.5864
SLC25A20,70.268
BOK,70.1606
HERPUD1,69.9591
NCL,69.9073
ASPG,69.7995
EIF3G,69.7336
SRSF6,69.7048
PPDPF,69.6988
ARF4,69.6624
ATP6V0E1,69.6019
TMEM256,69.5903
TAGLN2,69.5638
FOS,69.4193
ATP5A1,69.2263
TOMM7,69.2211
SNHG8,69.2031
RPL23A,69.1617
MYH9,69.0412
OSTC,69.0226
SLC43A1,68.9995
ALDH6A1,68.9378
NDUFA13,68.7818
CDK2AP2,68.7066
ABCC3,68.682
GABARAPL1,68.6694
TAPBP,68.6638
AFMID,68.5338
ACMSD,68.4379
HNRNPF,68.4378
H6PD,68.4088
SHROOM1,68.3785
PTGES3,68.3244
HNRNPL,68.1388
RFNG,68.1131
CFL1,68.0947
CLPTM1L,68.0571
HIST1H1C,68.0499
TXN2,68.0242
RPL27A,68.0119
SERINC1,68.0074
CDC42EP1,67.9945
CHP1,67.9267
PLXNB2,67.9149
RAB1B,67.8202
CMBL,67.8041
RPL31,67.7925
KDELR1,67.7621
SLC5A6,67.6011
HDHD3,67.3015
CTSL,67.0672
RAC1,67.0067
ASPDH,66.9797
TYMP,66.9792
CALM3,66.9292
PPP2R1B,66.9258
PSMB8,66.7381
PSMC3,66.6153
ATP5G2,66.6142
PCBP2,66.4866
IVD,66.2305
PTTG1IP,66.2173
HIBADH,66.0866
MRPS26,66.0846
HFE2,66.0674
SPCS1,66.0528
SLC25A39,66.0306
SPR,65.945
SPP2,65.9137
TNS2,65.8651
FCN3,65.8482
GPT2,65.7172
DBH-AS1,65.627
PFKL,65.5902
PEPD,65.4951
IGFALS,65.2397
CD59,65.1304
PROZ,65.0792
BCAP31,64.7358
MTCH2,64.6901
AP2M1,64.5973
PSMD3,64.5882
EIF5,64.5137
AMDHD1,64.497
CYP2D7,64.2828
CA2,64.1702
RP11-116D2.1,64.1265
TMPRSS6,64.1135
SCCPDH,64.0345
NR2F6,63.7358
MRPS18B,63.6677
ANXA6,63.5901
NDUFS2,63.5847
CTDSP1,63.5474
MYL12A,63.4918
GSTA2,63.484
ECI1,63.3408
MT1A,63.3335
GALT,62.9754
IFI30,62.9095
LENG8,62.883
PNPLA2,62.6882
APP,62.6848
SF1,62.621
SHC2,62.5725
SDC2,62.5505
DDOST,62.4454
ROMO1,62.4008
MMADHC,62.2916
NME4,62.2424
TPRG1L,62.2207
LINC00261,62.2144
PCYT2,62.0944
COA3,61.9967
C1orf115,61.9235
MYO1B,61.8978
MRPL34,61.8895
TMEM120A,61.6871
RPN1,61.6693
OXA1L,61.6202
HSD17B11,61.5809
CDC34,61.4022
AQP3,61.399
NFIL3,61.2419
MRPS24,61.2228
CLK1,61.2042
ADH5,61.1562
DNAJB1,61.1393
NAXD,61.1217
TMED10,61.0642
PTBP1,61.0505
ETFB,60.991
MBL2,60.9467
EPAS1,60.9261
LMAN1,60.8773
MRPL51,60.8669
CDC37,60.8646
UQCRC2,60.8524
TECR,60.8399
CYP2C18,60.8164
XRCC6,60.7415
PIM3,60.7003
SLC39A7,60.6367
ALKBH7,60.4383
PPA1,60.3452
VCP,60.2701
DHCR7,60.1911
SBDS,60.1727
CDIPT,60.1541
ABCC2,60.102
PMVK,60.0853
F11,59.9616
MAN1A1,59.9518
SLC38A10,59.9371
KLF15,59.8368
ABCG5,59.5805
DNAJB9,59.4096
ALDH3A2,59.3763
RBM39,59.2322
STAT2,59.1778
SERPINE1,59.1489
RBCK1,59.1373
PSMA3,59.1194
PLS3,59.0687
PLXNB1,59.0667
TFPI,58.7225
ERGIC3,58.5887
H1FX,58.5885
STAT6,58.5524
KAT2A,58.486
ATP5J2,58.4362
MRPS34,58.21
RPS15A,58.1322
FDPS,57.9305
MOGAT2,57.922
ATP5G1,57.8869
SRSF4,57.7661
RNU1-70P,57.7571
UBE2D3,57.7376
ALDOA,57.6683
SPARC,57.5384
PHPT1,57.5245
AKR1C3,57.3457
NORAD,57.154
SLC25A18,56.9507
ETNK2,56.9429
COL6A1,56.9338
ATPIF1,56.8664
SLC25A3,56.8562
LRP1,56.7679
SLCO1B1,56.7405
COPE,56.7206
CAPNS1,56.5628
PDLIM1,56.5025
DUS1L,56.4704
AP2S1,56.1969
GNAS,56.1306
DHRS1,56.1229
CCL16,56.0485
HAX1,55.9733
SUCLG1,55.903
GLUL,55.8598
SLC25A11,55.6411
CD99,55.6289
SLC25A42,55.5296
HNF4A,55.4097
PLIN4,55.3809
HNRNPAB,55.3551
ID1,55.3332
ARHGEF10L,55.331
PYGL,55.3114
SELENOF,55.2507
CHMP2A,55.03
MKNK2,55.0217
PHB,54.9684
CSDE1,54.9022
DPP7,54.8964
SULT1A1,54.8847
GLTPD2,54.8815
RHOD,54.8608
CITED2,54.8225
FAM20C,54.8177
UXT,54.5617
UQCR11,54.542
CALD1,54.4627
APEX1,54.4598
EIF3K,54.4296
SRSF1,54.426
SLC25A25,54.4021
NUDC,54.3869
VNN1,54.2666
CD151,54.2453
COX6C,54.2215
PLD3,54.2063
CDKN1A,54.2047
GDI2,54.1993
CCS,54.1235
AGXT2,54.107
HSDL2,54.0751
RER1,54.0642
TMEM208,54.0632
CBR1,54.0378
C6orf106,53.9964
DCAF8,53.9553
FAM32A,53.9467
SEC14L2,53.8662
SF3B6,53.7496
COPG1,53.7296
DLST,53.6065
LRRC75A-AS1,53.5476
RDH11,53.518
IFITM1,53.4943
PPP1CA,53.4761
MDH1,53.3691
BCL2L1,53.2595
ACADM,53.2279
PFDN2,53.2073
RAD23B,53.0036
PRR13,52.9935
IL4R,52.9462
SRSF9,52.9109
ABLIM3,52.8278
RPL22,52.8062
AAMP,52.8014
B4GALT1,52.7305
MTCH1,52.6062
ALAD,52.3643
FAH,52.3561
CRYZ,52.2483
RPS23,52.2434
ALPL,52.2395
CDA,52.197
TIMM13,52.132
MT1L,52.0585
PSMA6,52.0494
CCNL1,52.0152
HMGCS1,51.9909
C1QBP,51.9435
CIRBP,51.9402
CHPF,51.9027
COX14,51.8895
RAF1,51.8889
WBP1,51.7997
ACTN4,51.7467
SLC28A1,51.7329
COQ9,51.7002
ATP6V1G1,51.6802
AKR1D1,51.6622
PPP4C,51.6519
TP53INP1,51.5829
GSTZ1,51.5236
NADK,51.4891
TM7SF2,51.4497
POMP,51.3423
SERPINA7,51.3389
COASY,51.3181
OTC,51.2965
TMEM14C,51.2054
C4B,51.1977
MTG1,51.1857
DHTKD1,51.1812
BANF1,51.0678
TRAM1,50.958
CNN3,50.9481
ADIPOR1,50.8213
DAZAP2,50.7771
TMUB1,50.7722
GSDMB,50.7685
NFE2L1,50.7351
CCT3,50.6432
TAF10,50.6426
CNDP2,50.5781
HNRNPDL,50.4626
AARS,50.4535
CLPP,50.4476
TRMT112,50.43
SERP1,50.425
GSDMD,50.3106
ANXA7,50.2932
GNB1,50.2296
SUN2,50.2292
EIF3B,50.2203
FASTK,50.212
C7,50.1884
NDUFB1,50.1685
GPAA1,50.1482
UPB1,50.0921
OSGIN1,50.0211
RPL14,49.8914
SORD,49.7893
CTSA,49.7505
TRAPPC1,49.6382
BRD2,49.613
