distribution,loo_influence
background,0.016233807721588847
background,0.013863560451517185
background,0.01227126102544061
background,0.022907816255353194
background,0.007280694657105372
background,0.009007421933182434
background,0.017759164692650542
background,0.007582371239446353
background,0.02101859415624961
background,0.008139079522528242
background,0.016573297906583382
background,0.006419499195511522
background,0.01436075365971468
background,0.012892237691062536
background,0.018203516079138136
background,0.010067753582554972
background,0.012873873930098576
background,0.024856797618757868
background,0.008767923023037253
background,0.0046763647823911784
background,0.006919676836256831
background,0.01085494042064474
background,0.013576912500795178
background,0.015377465118317751
background,0.02407717871139515
background,0.005232775088939456
background,0.01615900659480204
background,0.010541938084998698
background,0.006738905220144372
background,0.013226798710434886
background,0.009261704030997502
background,0.024478266008100363
background,0.011863931292488118
background,0.0140952690513456
background,0.015629553228890466
background,0.007243070745532913
background,0.006418239253382898
background,0.006343163771404626
background,0.011656851868760669
background,0.0041219100874472624
background,0.027089320947350504
background,0.007609978891547568
background,0.03215571948291653
background,0.018114776803808054
background,0.0180694279808342
background,0.0035074217019231357
background,0.01630889752295932
background,0.007942553610977945
background,0.005269485689424091
background,0.017909122251575715
background,0.009956892769538844
background,0.01174261909279514
background,0.007531008999497309
background,0.01900316502109505
background,0.007629461490391984
background,0.005346247464758732
background,0.010592656834850651
background,0.018318811737295583
background,0.012635227372530816
background,0.016495213778656776
background,0.006898571911780057
background,0.028886539069090316
background,0.01501438757164902
background,0.022623711931654696
background,0.00587137995358037
background,0.022344870666096812
background,0.026232726861188563
background,0.019310700168680424
background,0.013772760066878687
background,0.025337570647170533
background,0.013125588503976235
background,0.008103838036016605
background,0.01215578187304331
background,0.008494927334637845
background,0.0066530040468494945
background,0.005445013807855392
background,0.007595410976904419
background,0.022802488666613614
background,0.016973984163762668
background,0.025641387337893836
background,0.013836763558992325
background,0.007151931112368888
background,0.012376296555322115
background,0.01097956501166335
background,0.011880209307118892
background,0.02404937854172906
background,0.03719672726414774
background,0.0056982447799610245
background,0.011048947287772318
background,0.006759510011543508
background,0.019047098282329776
background,0.007824926004000038
background,0.03231111889110482
background,0.0068326691475943755
background,0.006695233343599775
background,0.01684718938959526
background,0.03442004518533639
background,0.02215556784947549
background,0.010088405620663989
background,0.0053924855066328865
background,0.025485146636473686
background,0.012787802299763503
background,0.015452092507864315
background,0.021616955150438377
background,0.006192225687147877
background,0.005048672460662846
background,0.014933724131703682
background,0.008479884044090252
background,0.005193613402170571
background,0.015484336021355813
background,0.006883878458749086
background,0.00918319933460747
background,0.017562328820631242
background,0.007332387513952744
background,0.00798303535089292
background,0.007075481490940359
background,0.007850258251675003
background,0.00634664993257469
background,0.009020379198783816
background,0.010010965853562526
background,0.008685580275134703
background,0.008446002188325598
background,0.006438493543749818
background,0.030746534055916586
background,0.01374275492839889
background,0.0117440241968976
background,0.016602906727519642
background,0.021220883170142663
background,0.017853494034015975
background,0.007465350418870378
background,0.01651193195937116
background,0.013309250224719325
background,0.007399027744549532
background,0.019221900480470643
background,0.006131280348133616
background,0.01373598605127813
background,0.014752745385282616
background,0.009543722800972007
background,0.007678678165610969
background,0.017292777606838436
background,0.012212213992956833
background,0.01290107430643454
background,0.025499829984898813
background,0.014546649793519151
background,0.01794103278772493
background,0.014812465157756893
background,0.004299853232646669
background,0.011791404652190574
background,0.007481400929850443
background,0.035491080286104336
background,0.0067961287360655325
background,0.013185692984076396
background,0.011335012854492892
background,0.011001628973720467
background,0.02040332089697174
background,0.010020310281133961
background,0.022078020680081165
background,0.011729664447502511
background,0.008399093670949306
background,0.007673910064988598
background,0.030600861303753082
background,0.01047468889314474
background,0.007853991575190884
background,0.008691988785332415
background,0.01738507184480176
background,0.006138337968265625
background,0.005395054713573441
background,0.005537488209152547
background,0.009857998592963326
background,0.008996643477440846
background,0.009409109113834592
background,0.027485424722487765
background,0.011783864369813086
background,0.035194470433836555
background,0.014330606203971885
background,0.009425239125925968
background,0.014212331280592013
background,0.01980351275811007
background,0.010677061284980556
background,0.005904839261485273
background,0.00820946284287888
background,0.007844543517086525
background,0.007465290222516585
background,0.009036188391178684
background,0.006942597113738858
background,0.02318991151456023
background,0.011500281600774591
background,0.007852026878859147
background,0.00736372239924048
background,0.008661218954162032
background,0.005929180314279763
background,0.008941584139237837
background,0.027280187990293966
background,0.008848447427701465
background,0.008521506439473905
background,0.006314494238473981
background,0.011960672713988426
background,0.005560460219913239
background,0.013279567716243026
background,0.00551431188174568
background,0.02734316074645224
background,0.011789831300889914
background,0.005849049486458253
background,0.007938477956846034
background,0.028693727928620696
background,0.015134743963040218
background,0.00868238302965094
background,0.030324978748736374
background,0.00989769744439434
background,0.014922317479756078
background,0.017236573112412633
background,0.014932626554042644
background,0.011939608455648077
background,0.004827434558366014
background,0.008207179254376668
background,0.01154537609425765
background,0.010376463318024286
background,0.017852251615167045
background,0.011212244939995779
background,0.012024567513082245
background,0.00735512346044231
background,0.0189440603277247
background,0.00803528684624974
background,0.012622383452439379
background,0.010180988863613436
background,0.006672177564093887
background,0.010506911819683289
background,0.011504001099359463
background,0.006103017210454543
background,0.006458197854748839
background,0.005889104464770858
background,0.006689744293154763
background,0.007136964432099128
background,0.0068843054729086865
background,0.010782477776816672
background,0.01108538182411703
background,0.008374193371456746
background,0.008424895143766759
background,0.011426486220012912
background,0.005321687561393539
background,0.005716764883642338
background,0.022945811914776078
background,0.005953170978182871
background,0.020122682027207725
background,0.015008768830989665
background,0.010648663149021924
background,0.015433537617550348
background,0.006132355279577669
background,0.00812233394163097
background,0.012220457189982964
background,0.007902358484121293
background,0.010174008222891003
background,0.005206715166170699
background,0.00551818152223063
background,0.0124193233130099
background,0.016620000674287778
background,0.01005019393824607
background,0.01802086924279571
background,0.012374749973270448
background,0.035199898165695714
background,0.03181199747475939
background,0.010638693013726826
background,0.01986558512120242
background,0.006147529492669688
background,0.009630021304767958
background,0.00558561103312093
background,0.00925425121215687
background,0.01297764458006548
background,0.02193976781541204
background,0.010050073277198743
background,0.006907950785855277
background,0.03552217604214569
background,0.016292546312506807
background,0.019106992952109342
background,0.03867983796720518
background,0.008597683245159457
background,0.016577180894513776
background,0.013266982685898885
background,0.006315533600399237
background,0.006077081607651953
background,0.013705688316859527
background,0.00976769656418546
background,0.013200145830470567
background,0.013253625872462168
background,0.007548224576475687
background,0.011476991656078312
background,0.007979009724911536
background,0.005801058125038083
background,0.0067240145793948615
background,0.009442024824216863
background,0.057961304182915924
background,0.007338516948143959
background,0.020058011004981686
background,0.005288896297725737
background,0.010827761406101383
background,0.01930013633211757
background,0.007161599692203804
background,0.025729391384012944
background,0.02672044312728362
background,0.019939735229426166
